document,word,number
1,wordpress,3
1,memcached,4
1,with,5
1,docker,6
2,using,2
2,regedit,3
2,to,1
2,edit,4
2,synapse,5
2,trackpad,6
3,spark,7
3,on,4
3,mesos,3
3,avoid,2
3,re,1
3,fetching,5
3,spark,6
3,binary,7
4,collect,5
4,maven,3
4,fabric8,2
4,push,1
4,artifact,3
4,via,2
4,custom,2
4,plugin,4
5,docker,6
5,container,8
5,fails,7
5,to,6
5,use,5
5,wringpi,4
6,pulseaudio,3
6,compatiblity,2
6,with,1
6,redhat,2
6,5.3,8
7,iops,4
7,burst,7
7,and,4
7,blocking,2
7,access,3
7,to,5
7,my,7
7,cloud,8
7,services,9
8,check,1
8,trends,2
8,of,3
8,application's,4
8,health,2
8,through,7
8,error,3
8,rate,6
9,influx,8
9,db,4
9,tags,5
9,and,3
9,latency,7
9,issue,8
10,how,2
10,to,3
10,deploy,5
10,a,3
10,job,7
10,computation,9
10,jar,5
10,on,3
10,mesos,4
10,agent,5
11,class,6
11,memcached,3
11,not,7
11,found,4
11,lumen,8
11,project,2
12,docker,5
12,compose,2
12,both,3
12,types,5
12,of,7
12,containers,4
12,linux,2
12,windows,3
13,not,4
13,able,5
13,to,6
13,parse,2
13,this,3
13,index.js,4
13,code,5
13,in,3
13,aws,2
13,lambda,5
14,first,4
14,fresh,6
14,pristine,1
14,installation,9
14,not,7
14,working,8
15,elastic,5
15,beanstalk,1
15,docker,2
15,apache2,6
15,errors,9
16,how,8
16,to,7
16,user,5
16,zuul,6
16,to,9
16,process,8
16,login,7
16,url,4
16,for,1
16,avoid,2
16,authtication,5
16,and,4
16,how,1
16,to,2
16,controller,6
16,fine,9
16,grained,8
16,servcie's,6
16,interface,3
17,i,2
17,cant,5
17,make,4
17,cron,9
17,jobs,7
17,specified,5
17,in,4
17,cron.yaml,1
17,to,2
17,work,3
17,in,6
17,ebs,9
17,with,8
17,single,7
17,docker,9
18,python,6
18,api,3
18,node,2
18,fe,1
18,postgres,4
18,db,5
18,docker,6
18,development,9
18,and,8
18,production,7
19,show,5
19,up,1
19,a,5
19,summary,8
20,microservice,5
20,with,4
20,jhipster,6
20,5.0.1,2
20,not,3
20,working,9
20,without,8
20,jhipster,1
20,registry,6
21,boot2docker,4
21,jenkins,8
22,grafana,9
22,groupbynode,6
22,throws,3
22,timeout,4
22,error,7
23,fabric8,5
23,sdf,6
23,namespace,9
23,not,5
23,found,9
24,mesos,1
24,offer.getexecutoridslist,2
24,gives,3
24,an,5
24,empty,6
24,list,4
24,though,1
24,ui,2
24,shows,6
24,executors,9
25,monitor,7
25,the,8
25,internal,5
25,credit,4
25,flow,6
25,to,4
25,find,5
25,bottle,8
25,necks,9
